term,frequency,standard_english_score
brainrot,320,0.0
scrolling,174,3.48
skibidi,159,0.0
tiktok,106,2.46
slop,70,2.71
reels,62,3.12
dopamine,56,3.37
didn,54,3.29
yeet,49,2.51
rowan,45,3.32
rizz,42,1.81
kurzgesagt,39,0.0
millennial,38,3.33
vid,38,3.4
adhd,36,3.49
sus,34,3.04
rotting,31,3.34
wand,31,3.47
boredom,29,3.46
mindlessly,27,2.49
tok,27,2.9
doesn,25,3.22
insta,25,3.28
gyatt,24,0.0
isn,24,3.05
tik,23,2.57
ipads,22,3.11
mindless,22,3.22
spans,22,3.48
rizzler,21,0.0
brainrotted,20,0.0
charisma,20,3.34
doomscrolling,18,0.0
tung,18,3.13
boomer,18,3.28
distractions,18,3.45
roblox,17,2.73
couldn,17,2.74
thankyou,17,3.29
slangs,16,1.54
thumbnail,16,3.24
gucci,16,3.33
insightful,16,3.41
etymology,15,2.94
fanum,14,0.0
idiocracy,14,2.0
wasn,14,2.79
aevy,13,0.0
genz,13,1.73
sheesh,13,2.99
vids,13,3.2
bop,13,3.36
nightcore,12,1.51
mewing,12,1.92
addicting,12,2.82
rotted,12,2.82
dumber,12,3.14
misinformation,12,3.27
linguistics,12,3.43
knitting,12,3.45
podcasts,12,3.48
cheugy,11,0.0
alphas,11,2.61
mlg,11,2.66
aren,11,2.81
lingo,11,3.01
valorant,10,0.0
nyan,10,2.28
sixes,10,2.91
popularized,10,2.97
glock,10,3.1
bhai,10,3.13
sevens,10,3.22
bots,10,3.42
kudos,10,3.45
documentaries,10,3.48
mindful,10,3.49
cocomelon,9,0.0
chatgpt,9,0.0
howtown,9,0.0
finna,9,2.28
unironically,9,2.36
screentime,9,2.38
scat,9,2.91
swiping,9,2.96
influencers,9,3.1
npc,9,3.13
slaps,9,3.17
swag,9,3.19
nom,9,3.22
animations,9,3.36
bussin,8,1.24
scatman,8,1.63
overstimulation,8,1.86
millenial,8,2.02
womp,8,2.21
rewired,8,2.23
scrolled,8,2.82
cursive,8,2.9
schoolers,8,3.04
nightfall,8,3.11
skit,8,3.15
metaphors,8,3.23
crochet,8,3.25
parent's,8,3.27
generational,8,3.28
relatable,8,3.33
aint,8,3.34
toddlers,8,3.38
subconscious,8,3.39
glued,8,3.41
irl,8,3.43
verbs,8,3.44
soooo,8,3.46
subtitles,8,3.48
brrt,7,0.0
braincells,7,1.78
fleek,7,2.03
onomatopoeia,7,2.15
uninstalled,7,2.42
millenials,7,2.45
dop,7,2.45
headspace,7,2.58
noob,7,2.74
ngl,7,2.93
uninstall,7,2.95
youtubers,7,3.22
hover,7,3.26
eminem,7,3.34
learner,7,3.35
boomers,7,3.42
norific,6,0.0
achina,6,0.0
gyat,6,0.0
goated,6,1.09
incel,6,1.99
glitters,6,2.54
rots,6,2.73
wouldn,6,2.8
homeschool,6,2.85
weil,6,2.94
banger,6,3.02
subbed,6,3.07
imma,6,3.09
abbreviation,6,3.14
youtuber,6,3.16
babysitter,6,3.21
yall,6,3.21
emoji,6,3.23
plz,6,3.26
nouns,6,3.26
detox,6,3.29
josephine,6,3.33
adjective,6,3.34
slay,6,3.35
hella,6,3.35
reclaim,6,3.44
sooo,6,3.48
mogging,5,0.0
tiktoks,5,0.0
looksmaxxing,5,0.0
skeebeedee,5,0.0
delulu,5,0.0
vdo,5,1.6
overstimulated,5,1.84
bootylicious,5,1.92
genx,5,1.99
shibboleth,5,2.0
doot,5,2.27
lacan,5,2.39
shinn,5,2.46
fomo,5,2.55
cognitively,5,2.57
otp,5,2.63
infographics,5,2.69
caked,5,2.7
mera,5,2.71
algorithmic,5,2.77
gangnam,5,2.79
wth,5,2.89
video's,5,2.92
diddy,5,2.97
tantrums,5,2.98
introspection,5,2.98
convo,5,2.99
succumb,5,3.06
cantonese,5,3.07
vaping,5,3.09
enlightening,5,3.09
deactivated,5,3.1
audiobook,5,3.1
groovy,5,3.11
stuffs,5,3.14
shortening,5,3.15
captions,5,3.19
tic,5,3.21
gratification,5,3.27
unrestricted,5,3.27
audacity,5,3.27
playback,5,3.33
baffled,5,3.36
acronym,5,3.38
paused,5,3.38
vpn,5,3.39
realising,5,3.41
funnier,5,3.41
solitude,5,3.42
truthful,5,3.42
incompetence,5,3.43
endlessly,5,3.46
provoking,5,3.47
trendy,5,3.47
badger,5,3.48
intellect,5,3.49
