source,target,weight
genalpha,genz,45
brainrot,genalpha,45
genz,slang,45
scrolling,social_media,33
language,slang,29
brainrot,genz,27
brainrot,shorts,25
genalpha,slang,24
brainrot,social_media,24
social_media,tiktok,23
scrolling,shorts,22
instagram,tiktok,22
brainrot,skibidi,20
reels,shorts,20
genz,language,19
instagram,social_media,19
scrolling,tiktok,18
focus,social_media,18
addiction,social_media,17
shorts,tiktok,16
genalpha,skibidi,16
reels,scrolling,15
sigma,skibidi,14
genz,skibidi,14
brainrot,scrolling,13
attention_span,social_media,13
instagram,shorts,13
rizz,skibidi,13
millennial,slang,12
brainrot,tiktok,12
genz,millennial,12
longform,shorts,12
shortform,shorts,12
instagram,scrolling,11
instagram,reels,11
mental_health,social_media,11
dopamine,social_media,11
addiction,tiktok,11
skibidi,slang,11
brainrot,language,11
reels,tiktok,10
dopamine,focus,10
brainrot,focus,10
gyatt,skibidi,10
language,social_media,10
reels,social_media,10
focus,reels,10
screen_time,social_media,9
sus,yeet,9
focus,shorts,9
genalpha,tiktok,9
attention_span,brainrot,9
brainrot,shortform,8
attention_span,shorts,8
brainrot,slang,8
slang,tiktok,8
attention_span,tiktok,8
brainrot,meme,8
brainrot,reels,8
rizz,slang,8
genz,yeet,8
focus,scrolling,8
brainrot,sigma,8
culture,language,7
genz,social_media,7
longform,shortform,7
genz,tiktok,7
genx,genz,7
genx,slang,7
adhd,social_media,7
addiction,instagram,7
attention_span,scrolling,7
nocap,slang,7
attention_span,focus,7
mindless,scrolling,6
genz,nocap,6
mindless,social_media,6
addiction,scrolling,6
adhd,attention_span,6
shortform,tiktok,6
focus,shortform,6
doomscrolling,social_media,6
anxiety,social_media,6
attention_span,reels,6
algorithm,shorts,6
slang,sus,6
brainrot,instagram,6
nocap,sus,6
nocap,yeet,6
genalpha,social_media,6
brainrot,ipadkids,6
rizz,sigma,6
genalpha,rizz,6
addiction,brainrot,6
boomer,slang,5
reels,shortform,5
longform,reels,5
brainrot,screen_time,5
shorts,social_media,5
doomscrolling,shorts,5
language,tiktok,5
addiction,dopamine,5
boomer,sus,5
language,skibidi,5
attention_span,shortform,5
addiction,mental_health,5
skibidi,viral,5
brainrot,longform,5
meme,slang,5
brainrot,dopamine,5
brainrot,doomscrolling,5
vibe,yeet,5
based,genz,5
nocap,vibe,5
adhd,focus,5
sus,vibe,5
meme,skibidi,5
dopamine,reels,5
genalpha,language,5
brainrot,rizz,5
gyatt,rizz,5
genalpha,shorts,5
genz,shorts,5
genz,scrolling,5
culture,slang,4
slang,yeet,4
anxiety,attention_span,4
longform,scrolling,4
addiction,shorts,4
addiction,attention_span,4
based,slang,4
based,brainrot,4
boomer,vibe,4
algorithm,brainrot,4
boomer,nocap,4
addiction,doomscrolling,4
focus,instagram,4
genz,sus,4
longform,tiktok,4
skibidi,tiktok,4
boomer,yeet,4
addiction,screen_time,4
instagram,longform,4
genx,millennial,4
algorithm,scrolling,4
genz,sigma,4
genz,rizz,4
dopamine,shorts,4
rotting,social_media,4
scrolling,zombie,4
focus,screen_time,4
anxiety,brainrot,3
focus,longform,3
algorithm,reels,3
attention_span,longform,3
anxiety,dopamine,3
slang,social_media,3
instagram,mental_health,3
algorithm,tiktok,3
doomscrolling,reels,3
language,millennial,3
language,trend,3
skibidi,yeet,3
based,meme,3
attention_span,genalpha,3
addiction,shortform,3
focus,tiktok,3
focus,language,3
screen_time,scrolling,3
genz,meme,3
doomscrolling,scrolling,3
brainrot,zombie,3
distraction,focus,3
shortform,social_media,3
genalpha,meme,3
genalpha,yeet,3
genalpha,screen_time,3
brainrot,rotting,3
social_media,zombie,3
based,scrolling,3
meme,sus,3
brainrot,trend,3
brainrot,distraction,3
genalpha,sigma,3
algorithm,instagram,3
dopamine,scrolling,3
boomer,genz,3
language,rotting,3
language,reels,3
genalpha,ipadkids,3
based,shorts,3
shorts,skibidi,3
brainrot,mindless,3
algorithm,social_media,3
focus,mental_health,3
