node,theme,community,degree,weighted_degree,degree_centrality,betweenness,closeness,pagerank
brainrot,brainrot,1,31,305,0.7209,0.5449,0.7679,0.0897
social_media,platform,0,24,257,0.5581,0.4529,0.6615,0.0742
genz,generational,1,19,230,0.4419,0.3261,0.6418,0.0678
slang,language,1,17,190,0.3953,0.1434,0.6232,0.0589
genalpha,generational,1,15,179,0.3488,0.0,0.6056,0.0511
shorts,platform,0,18,177,0.4186,0.1595,0.6143,0.0485
tiktok,platform,0,17,169,0.3953,0.0,0.6143,0.0456
scrolling,platform,0,18,168,0.4186,0.0963,0.5972,0.0474
skibidi,meme_slang,1,13,123,0.3023,0.1661,0.5733,0.0414
reels,platform,0,14,114,0.3256,0.0,0.5309,0.032
focus,cognitive,0,16,106,0.3721,0.0011,0.5443,0.0325
language,language,1,13,106,0.3023,0.0532,0.5811,0.0344
instagram,platform,0,11,103,0.2558,0.0,0.5,0.0288
attention_span,cognitive,0,13,83,0.3023,0.0,0.5244,0.0252
addiction,cognitive,0,12,76,0.2791,0.0,0.5059,0.0231
shortform,content,0,9,55,0.2093,0.0,0.4886,0.017
rizz,meme_slang,1,7,47,0.1628,0.0,0.5244,0.0171
longform,content,0,9,47,0.2093,0.0,0.4886,0.0149
dopamine,cognitive,0,8,46,0.186,0.0,0.4831,0.0153
yeet,meme_slang,2,8,42,0.186,0.0388,0.4526,0.0178
sus,meme_slang,2,7,38,0.1628,0.0,0.4257,0.017
sigma,meme_slang,1,5,35,0.1163,0.0,0.5059,0.013
nocap,meme_slang,2,6,34,0.1395,0.0044,0.4216,0.0153
millennial,generational,1,4,31,0.093,0.0,0.4257,0.012
meme,language,1,7,30,0.1628,0.0,0.5309,0.0118
screen_time,platform,0,6,28,0.1395,0.0,0.4831,0.0104
doomscrolling,brainrot,0,6,26,0.1395,0.0,0.4725,0.0098
algorithm,platform,0,7,26,0.1628,0.0,0.4778,0.0096
boomer,generational,2,6,25,0.1395,0.0,0.4216,0.0123
based,meme_slang,1,6,22,0.1395,0.0,0.5059,0.0091
mental_health,cognitive,0,4,22,0.093,0.0,0.4216,0.0089
vibe,meme_slang,2,4,19,0.093,0.0,0.3233,0.0107
genx,generational,1,3,18,0.0698,0.0,0.4057,0.0083
adhd,cognitive,0,3,18,0.0698,0.0,0.4175,0.008
anxiety,cognitive,0,4,16,0.093,0.0,0.4624,0.0075
gyatt,meme_slang,1,2,15,0.0465,0.0,0.3707,0.0078
mindless,brainrot,0,3,15,0.0698,0.0,0.4574,0.0071
culture,language,1,2,11,0.0465,0.0,0.4057,0.0064
zombie,brainrot,0,3,10,0.0698,0.0,0.4574,0.0059
rotting,brainrot,1,3,10,0.0698,0.0,0.4674,0.006
ipadkids,generational,1,2,9,0.0465,0.0,0.4526,0.0056
distraction,cognitive,1,2,6,0.0465,0.0,0.4526,0.0049
trend,language,1,2,6,0.0465,0.0,0.4526,0.005
viral,language,1,1,5,0.0233,0.0,0.3675,0.0048
